customer_id,customer_name,email,city,country,loyalty_segment
C00001,Customer 00001,customer00001@example.com,Bengaluru,India,Regular
C00002,Customer 00002,customer00002@example.com,Delhi,India,Silver
C00003,Customer 00003,customer00003@example.com,Mumbai,India,Silver
C00004,Customer 00004,customer00004@example.com,Bengaluru,India,Regular
C00005,Customer 00005,customer00005@example.com,Kochi,India,Regular
C00006,Customer 00006,customer00006@example.com,Chennai,India,Regular
C00007,Customer 00007,customer00007@example.com,Mumbai,India,Silver
C00008,Customer 00008,customer00008@example.com,Chennai,India,Silver
C00009,Customer 00009,customer00009@example.com,Kochi,India,Silver
C00010,Customer 00010,customer00010@example.com,Coimbatore,India,Gold
C00011,Customer 00011,customer00011@example.com,Chennai,India,Silver
C00012,Customer 00012,customer00012@example.com,Kochi,India,Gold
C00013,Customer 00013,customer00013@example.com,Delhi,India,Silver
C00014,Customer 00014,customer00014@example.com,Mumbai,India,Gold
C00015,Customer 00015,customer00015@example.com,Bengaluru,India,Regular
C00016,Customer 00016,customer00016@example.com,Kochi,India,Regular
C00017,Customer 00017,customer00017@example.com,Pune,India,Gold
C00018,Customer 00018,customer00018@example.com,Delhi,India,Regular
C00019,Customer 00019,customer00019@example.com,Coimbatore,India,Regular
C00020,Customer 00020,customer00020@example.com,Kochi,India,Regular
C00021,Customer 00021,customer00021@example.com,Delhi,India,Gold
C00022,Customer 00022,customer00022@example.com,Mumbai,India,Regular
C00023,Customer 00023,customer00023@example.com,Chennai,India,Silver
C00024,Customer 00024,customer00024@example.com,Delhi,India,Regular
C00025,Customer 00025,customer00025@example.com,Mumbai,India,Regular
C00026,Customer 00026,customer00026@example.com,Kochi,India,Gold
C00027,Customer 00027,customer00027@example.com,Coimbatore,India,Gold
C00028,Customer 00028,customer00028@example.com,Hyderabad,India,Gold
C00029,Customer 00029,customer00029@example.com,Pune,India,Silver
C00030,Customer 00030,customer00030@example.com,Delhi,India,Regular
C00031,Customer 00031,customer00031@example.com,Hyderabad,India,Silver
C00032,Customer 00032,customer00032@example.com,Hyderabad,India,Platinum
C00033,Customer 00033,customer00033@example.com,Kochi,India,Gold
C00034,Customer 00034,customer00034@example.com,Mumbai,India,Gold
C00035,Customer 00035,customer00035@example.com,Chennai,India,Silver
C00036,Customer 00036,customer00036@example.com,Chennai,India,Gold
C00037,Customer 00037,customer00037@example.com,Kochi,India,Gold
C00038,Customer 00038,customer00038@example.com,Bengaluru,India,Silver
C00039,Customer 00039,customer00039@example.com,Pune,India,Silver
C00040,Customer 00040,customer00040@example.com,Coimbatore,India,Platinum
C00041,Customer 00041,customer00041@example.com,Coimbatore,India,Silver
C00042,Customer 00042,customer00042@example.com,Delhi,India,Silver
C00043,Customer 00043,customer00043@example.com,Mumbai,India,Gold
C00044,Customer 00044,customer00044@example.com,Kochi,India,Platinum
C00045,Customer 00045,customer00045@example.com,Pune,India,Silver
C00046,Customer 00046,customer00046@example.com,Hyderabad,India,Platinum
C00047,Customer 00047,customer00047@example.com,Bengaluru,India,Regular
C00048,Customer 00048,customer00048@example.com,Bengaluru,India,Silver
C00049,Customer 00049,customer00049@example.com,Hyderabad,India,Platinum
C00050,Customer 00050,customer00050@example.com,Bengaluru,India,Platinum
C00051,Customer 00051,customer00051@example.com,Kochi,India,Platinum
C00052,Customer 00052,customer00052@example.com,Delhi,India,Regular
